request_id,citizen_id,office_id,channel,request_type,category,subcategory,created_at,closed_at,status,priority,satisfaction_rating,resolution_hours,cost_soles,department,province,district,latitude,longitude,contact_email,contact_phone
REQ-1018,CI-274,OF-002,web,solicitud,salud,abastecimiento,2024-11-30T07:00:00,2024-12-05T15:00:00,cerrado,baja,4,164,88.89,Lima,Lima,Surco,-13.732167,-70.409823,user7623@mail.com,948605268
REQ-1019,CI-838,OF-002,web,queja,salud,vacunas,2024-03-27T01:00:00,2024-04-02T06:00:00,en_proceso,baja,3,84,261.62,Lima,Lima,San Isidro,-16.854675,-71.421385,user5995@mail.com,981249799
REQ-1020,CI-763,OF-001,app,consulta,transporte,rutas,2024-02-23T03:00:00,2024-02-24T15:00:00,abierto,baja,4,30,34.02,Arequipa,Arequipa,Cayma,-17.291051,-74.417206,user8851@mail.com,966254240
REQ-1021,CI-932,OF-002,callcenter,reclamo,salud,abastecimiento,2023-01-03T08:00:00,2023-01-12T12:00:00,anulado,critica,5,65,279.48,Lima,Lima,Miraflores,-13.770914,-78.267979,user244@mail.com,958082464
REQ-1022,CI-711,OF-005,callcenter,solicitud,servicios,limpieza,2024-09-11T13:00:00,2024-09-12T15:00:00,cerrado,baja,5,185,302.92,Cusco,Cusco,Wanchaq,-15.174582,-76.443558,user5554@mail.com,970867592
REQ-1023,CI-385,OF-005,presencial,solicitud,servicios,limpieza,2024-09-28T19:00:00,2024-10-06T00:00:00,cerrado,baja,3,8,63.15,La Libertad,Trujillo,Victor Larco,-13.091856,-70.206162,user5752@mail.com,910819505
REQ-1024,CI-156,OF-001,presencial,consulta,transporte,semaforos,2023-05-21T08:00:00,2023-05-24T11:00:00,en_proceso,baja,4,45,45.21,Arequipa,Arequipa,Cayma,-13.485403,-73.997639,user5803@mail.com,919673809
REQ-1025,CI-251,OF-002,web,reclamo,salud,vacunas,2023-07-22T05:00:00,2023-07-28T16:00:00,abierto,alta,1,46,332.95,La Libertad,Trujillo,Victor Larco,-14.889416,-71.709988,user9495@mail.com,970251043
REQ-1026,CI-930,OF-003,web,reclamo,seguridad,patrullaje,2023-09-11T22:00:00,2023-09-16T15:00:00,anulado,media,5,41,127.36,Lima,Lima,Surco,-15.604309,-71.529817,user9796@mail.com,917028380
REQ-1027,CI-884,OF-004,presencial,reclamo,tributos,predial,2023-06-08T02:00:00,2023-06-11T06:00:00,cerrado,baja,5,214,258.53,Arequipa,Arequipa,Cayma,-17.947092,-75.469121,user2148@mail.com,990161060
REQ-1028,CI-205,OF-005,web,,servicios,agua,2023-06-14T08:00:00,2023-06-19T04:00:00,cerrado,baja,4,24,331.24,Lima,Lima,San Isidro,-12.728088,-70.538332,user437@mail.com,965686520
REQ-1029,CI-116,OF-005,email,reclamo,servicios,limpieza,2023-05-28T09:00:00,2023-05-27T02:00:00,abierto,baja,5,107,65.56,La Libertad,Trujillo,Victor Larco,-17.626387,-69.72811,user1109@mail.com,980606503
REQ-1030,CI-934,OF-005,app,consulta,servicios,agua,2024-10-24T06:00:00,2024-10-27T08:00:00,en_proceso,alta,3,70,43.57,Lima,Lima,Surco,-15.272426,-74.899804,user7205@mail.com,961894582
REQ-1031,CI-794,OF-004,web,reclamo,tributos,predial,2023-08-30T20:00:00,2023-09-03T18:00:00,en_proceso,alta,1,155,53.7,Cusco,Cusco,Wanchaq,-11.842882,-75.15188,user1260@mail.com,987030477
REQ-1032,CI-470,OF-005,presencial,queja,servicios,agua,2023-05-23T07:00:00,2023-05-31T18:00:00,en_proceso,baja,5,95,163.59,Arequipa,Arequipa,Cayma,-17.330533,-70.541782,user1078@mail.com,951512297
REQ-1033,CI-195,OF-005,presencial,reclamo,servicios,agua,2024-11-05T19:00:00,2024-11-13T12:00:00,cerrado,baja,5,11,288.83,Lima,Lima,Miraflores,-17.655807,-69.963078,user9450@mail.com,945521514
REQ-1034,CI-354,OF-002,callcenter,consulta,salud,citas,2023-06-13T15:00:00,2023-06-19T03:00:00,en_proceso,alta,4,6,31.52,Cusco,Cusco,Wanchaq,-14.813522,-69.79982,user3525@mail.com,988295121
REQ-1035,CI-240,OF-003,app,solicitud,seguridad,patrullaje,2024-09-12T16:00:00,2024-09-14T04:00:00,en_proceso,media,2,101,346.72,La Libertad,Trujillo,Victor Larco,-12.554567,-73.156478,user8312@mail.com,abc123
REQ-1036,CI-582,OF-001,presencial,reclamo,transporte,rutas,2023-11-29T21:00:00,2023-12-05T00:00:00,en_proceso,baja,2,118,319.24,Lima,Lima,Surco,-14.539969,-72.417183,user4332@mail.com,991883092
REQ-1037,CI-858,OF-005,presencial,reclamo,servicios,agua,2024-11-16T16:00:00,2024-11-19T02:00:00,cerrado,baja,4,85,,Lima,Lima,Miraflores,-13.636014,-77.262797,user9017@mail.com,931198492
REQ-1038,CI-237,OF-005,app,consulta,servicios,agua,2023-04-26T10:00:00,2023-04-28T04:00:00,cerrado,media,2,4,257.82,Lima,Lima,Surco,-14.395866,-71.684455,user2876@mail.com,992000924
REQ-1039,CI-865,OF-005,callcenter,solicitud,servicios,limpieza,2024-07-16T15:00:00,2024-07-24T17:00:00,en_proceso,media,2,196,86.61,Arequipa,Arequipa,Cayma,-12.349995,-77.763167,user7320@mail.com,980890196
REQ-1040,CI-132,OF-003,app,reclamo,seguridad,desconocido,2024-10-18T23:00:00,2024-10-25T21:00:00,anulado,baja,,115,304.37,Cusco,Cusco,Wanchaq,-15.683175,-72.355427,user8836@mail.com,927849589
REQ-1041,CI-322,OF-001,presencial,consulta,transporte,semaforos,2024-08-12T10:00:00,2024-08-18T14:00:00,en_proceso,media,3,61,105.62,Lima,Lima,San Isidro,-11.59584,-73.808741,user6776@mail.com,950332555
REQ-1042,CI-152,OF-003,app,queja,seguridad,patrullaje,2023-07-12T18:00:00,2023-07-20T12:00:00,cerrado,baja,,223,317.46,Lima,Lima,Surco,-11.787968,-78.361997,user3114@mail.com,925745913
REQ-1043,CI-801,OF-003,callcenter,solicitud,otra,ruidos,2024-10-19T23:00:00,,en_proceso,media,3,44,48.99,Arequipa,Arequipa,Cayma,-14.928281,-70.247905,user8883@mail.com,996142207
REQ-1044,CI-358,OF-003,callcenter,solicitud,seguridad,patrullaje,2024-01-18T12:00:00,2024-01-23T10:00:00,en_proceso,critica,2,,239.41,Lima,Lima,Miraflores,-13.819971,-70.776028,user520@mail.com,922549425
REQ-1045,CI-969,OF-004,email,consulta,tributos,arbitrios,2023-05-24T22:00:00,2023-06-01T16:00:00,abierto,media,3,14,34.19,Lima,Lima,San Isidro,-12.58088,-75.434665,user9759@mail.com,963244581
REQ-1046,CI-903,OF-003,app,queja,seguridad,iluminacion,2024-02-28T12:00:00,2024-03-07T20:00:00,abierto,alta,2,147,182.39,La Libertad,Trujillo,Victor Larco,-15.649095,-77.250439,user4934@mail.com,946024950
REQ-1047,CI-485,OF-003,app,consulta,seguridad,patrullaje,2024-07-31T06:00:00,2024-08-06T14:00:00,anulado,baja,5,7,333.55,Cusco,Cusco,Wanchaq,-11.882068,-76.613164,user4774@mail.com,919282319
REQ-1048,CI-110,OF-001,callcenter,reclamo,transporte,rutas,2024-06-15T17:00:00,2024-06-21T22:00:00,cerrado,baja,3,101,162.07,La Libertad,Trujillo,Victor Larco,-14.256447,-73.995808,user5652@mail.com,913296743
REQ-1049,CI-302,OF-004,email,solicitud,tributos,arbitrios,2023-01-05T22:00:00,2023-01-08T05:00:00,abierto,alta,1,148,35.61,Arequipa,Arequipa,Cayma,-16.947369,-75.566136,user7497@mail.com,925294777
REQ-1050,CI-154,OF-003,web,solicitud,seguridad,patrullaje,2023-07-19T12:00:00,2023-07-25T12:00:00,en_proceso,media,4,107,248.55,Cusco,Cusco,Wanchaq,-14.925713,-77.755964,user506@mail.com,939598969
REQ-1051,CI-747,OF-004,presencial,reclamo,tributos,predial,2023-07-31T01:00:00,2023-08-06T03:00:00,en_proceso,baja,5,44,113.28,La Libertad,Trujillo,Victor Larco,-16.239348,-73.34538,user8429@mail.com,922780905
REQ-1052,CI-914,OF-005,app,reclamo,otra,luz,2023-08-05T15:00:00,2023-08-08T12:00:00,en_proceso,baja,5,148,,Cusco,Cusco,Wanchaq,-12.918366,,user794@mail.com,916166355
REQ-1053,CI-980,OF-004,presencial,solicitud,tributos,predial,2023-08-23T12:00:00,2023-08-21T18:00:00,cerrado,baja,3,95,308.35,Lima,Lima,San Isidro,-15.635769,-71.179689,user2182@mail.com,996110892
REQ-1054,CI-902,OF-002,app,solicitud,otra,citas,2023-09-04T15:00:00,2023-09-11T11:00:00,en_proceso,media,1,93,326.87,Lima,Lima,San Isidro,-15.608184,-70.94924,user6896@mail.com,959044830
REQ-1055,CI-544,OF-001,app,queja,transporte,baches,2024-11-13T23:00:00,2024-11-21T00:00:00,cerrado,,2,,3.97,Cusco,Cusco,Wanchaq,-11.814791,-73.792952,user4248@mail.com,932409388
REQ-1056,CI-771,OF-004,presencial,consulta,otra,,2024-03-02T23:00:00,2024-03-06T09:00:00,en_proceso,baja,3,31,,Lima,Lima,Miraflores,-16.998393,-71.260958,user753@mail.com,963811222
REQ-1057,CI-161,OF-002,callcenter,queja,salud,citas,2023-08-26T16:00:00,2023-08-31T02:00:00,cerrado,baja,1,149,33.45,Lima,Lima,San Isidro,-13.930655,-74.950838,user9698@mail.com,986211608
REQ-1058,CI-505,OF-005,web,consulta,servicios,luz,2023-06-28T00:00:00,2023-07-02T08:00:00,cerrado,media,5,64,33.15,Lima,Lima,Miraflores,-12.813892,-77.241863,user_at_mail.com,918277097
REQ-1059,CI-402,OF-004,app,solicitud,tributos,predial,2023-03-31T08:00:00,2023-04-04T11:00:00,abierto,baja,5,64,220.76,Arequipa,Arequipa,Cayma,-12.87453,-69.595367,user5884@mail.com,974382155
REQ-1060,CI-128,OF-003,email,reclamo,seguridad,ruidos,2023-07-12T15:00:00,2023-07-18T10:00:00,en_proceso,media,1,15,81.42,Lima,Lima,San Isidro,-18.066482,-74.198099,user5436@mail.com,992427773
,CI-230,OF-002,web,solicitud,salud,abastecimiento,2023-02-03T05:00:00,2023-02-09T16:00:00,en_proceso,alta,5,57,223.88,Lima,Lima,Miraflores,,-77.23421,user1275@mail.com,941943272
REQ-1062,CI-484,OF-002,web,queja,salud,vacunas,2024-08-31T19:00:00,2024-09-10T08:00:00,en_proceso,baja,2,156,311.41,Lima,Lima,San Isidro,-17.841177,-75.520149,user3113@mail.com,964932613
REQ-1063,CI-375,OF-005,web,reclamo,servicios,limpieza,2024-11-14T03:00:00,2024-11-15T01:00:00,cerrado,alta,4,194,206.4,Arequipa,Arequipa,Cayma,-17.791409,-75.016045,user8562@mail.com,966187845
REQ-1064,CI-632,OF-004,web,solicitud,tributos,predial,2024-02-29T04:00:00,2024-03-01T18:00:00,en_proceso,media,1,237,36.97,Lima,Lima,Miraflores,-12.935504,-70.692723,user5634@mail.com,965148727
REQ-1065,CI-596,OF-005,callcenter,queja,servicios,limpieza,2023-06-12T02:00:00,2023-06-15T10:00:00,cerrado,media,0,226,199.04,Lima,Lima,San Isidro,-16.908485,-71.003631,,943486016
REQ-1066,CI-762,OF-002,email,queja,salud,citas,2023-09-16T19:00:00,2023-09-25T10:00:00,cerrado,media,3,109,313.42,Lima,Lima,Surco,-15.124713,-76.536119,user4951@mail.com,979878835
REQ-1067,CI-825,OF-005,presencial,consulta,servicios,limpieza,2023-08-16T21:00:00,2023-08-22T14:00:00,cerrado,media,3,130,105.07,Lima,Lima,San Isidro,-12.567721,-70.611547,user2968@mail.com,949431028
REQ-1068,,,callcenter,reclamo,salud,desconocido,2024-05-14T10:00:00,2024-05-21T04:00:00,anulado,baja,1,2,158.22,Lima,Lima,San Isidro,-13.100005,-76.982548,user2596@mail.com,975709924
REQ-1069,CI-868,OF-002,presencial,solicitud,salud,desconocido,2023-08-22T07:00:00,2023-08-30T02:00:00,anulado,baja,1,151,176.62,Lima,Lima,Miraflores,-15.743837,-72.645137,user613@mail.com,960357475
REQ-1070,CI-402,OF-002,web,,salud,citas,2024-12-05T15:00:00,2024-12-09T04:00:00,abierto,baja,1,233,38.65,Arequipa,Arequipa,Cayma,-13.717553,-77.1577,user1476@mail.com,978679929
REQ-1071,CI-916,OF-002,web,reclamo,otra,abastecimiento,2023-03-02T05:00:00,2023-03-03T08:00:00,en_proceso,media,5,174,,Arequipa,Arequipa,Cayma,-15.65567,-75.27261,user473@mail.com,927536261
REQ-1072,CI-438,OF-003,web,reclamo,seguridad,ruidos,2024-10-20T12:00:00,2024-10-24T20:00:00,cerrrado,baja,4,800,200.56,Lima,Lima,Miraflores,-12.460852,-74.476387,user1945@mail.com,976756320
REQ-1073,CI-834,OF-004,web,consulta,tributos,multas,2023-07-20T06:00:00,2023-07-21T13:00:00,cerrado,baja,4,212,273.5,La Libertad,Trujillo,Victor Larco,-15.935845,-71.685656,user762@mail.com,994992096
REQ-1074,CI-866,OF-005,callcenter,consulta,servicios,limpieza,2024-07-20T20:00:00,2024-07-23T04:00:00,abierto,media,3,176,120.85,La Libertad,Trujillo,Victor Larco,-17.311099,-72.106432,user2914@mail.com,977631432
REQ-1075,CI-498,OF-002,email,consulta,salud,abastecimiento,2024-11-11T01:00:00,2024-11-20T23:00:00,en_proceso,media,3,142,18.83,La Libertad,Trujillo,Victor Larco,-16.516014,-72.914945,user7260@mail.com,940272606
REQ-1076,CI-325,OF-002,email,queja,salud,abastecimiento,2023-06-13T13:00:00,2023-06-11T18:00:00,en_proceso,baja,2,227,74.67,Lima,Lima,Surco,-15.981854,-75.857831,user8692@mail.com,973734252
REQ-1077,CI-801,OF-004,web,reclamo,tributos,multas,2024-12-20T23:00:00,2024-12-29T06:00:00,en_proceso,alta,1,192,240.12,Lima,Lima,Miraflores,-15.123191,,user1434@mail.com,919831184
REQ-1078,CI-793,OF-003,web,reclamo,seguridad,patrullaje,2023-02-12T00:00:00,2023-02-18T03:00:00,en_proceso,media,1,79,73.52,La Libertad,Trujillo,Victor Larco,-12.146239,-75.405335,user6761@mail.com,996695458
REQ-1079,CI-420,OF-002,presencial,solicitud,salud,vacunas,2024-01-04T04:00:00,2024-01-11T10:00:00,cerrado,alta,4,115,125.56,Lima,Lima,Surco,,-77.520506,user9939@mail.com,921002322
REQ-1080,CI-263,OF-002,email,reclamo,salud,abastecimiento,2024-05-10T11:00:00,2024-05-10T22:00:00,abierto,media,1,68,129.3,Lima,Lima,Miraflores,-13.720476,-73.839033,user5919@mail.com,962088975
REQ-1081,CI-221,OF-002,app,consulta,salud,abastecimiento,2023-04-27T15:00:00,2023-05-04T20:00:00,en_proceso,baja,2,166,291.68,Lima,Lima,Miraflores,-16.567409,-77.349034,,931626387
REQ-1082,CI-616,OF-004,presencial,queja,tributos,predial,2024-05-02T19:00:00,2024-05-09T05:00:00,abierto,alta,5,193,41.13,Cusco,,Wanchaq,-13.78207,-70.382137,user8836@mail.com,910161088
REQ-1083,CI-767,OF-005,callcenter,consulta,servicios,limpieza,,2024-03-13T16:00:00,cerrado,critica,4,194,71.29,Arequipa,Arequipa,Cayma,-12.948618,-74.15779,user6066@mail.com,985040303
REQ-1084,CI-711,OF-001,presencial,solicitud,transporte,baches,2023-01-11T06:00:00,,cerrado,alta,3,50,11.76,Arequipa,Arequipa,Cayma,-14.779329,,user2777@mail.com,914840043
REQ-1085,CI-486,OF-005,app,reclamo,servicios,luz,2024-04-14T21:00:00,2024-04-19T19:00:00,cerrado,alta,4,30,90.24,Cusco,Cusco,Wanchaq,-13.954466,,user3768@mail.com,952376656
REQ-1086,CI-968,OF-004,callcenter,consulta,tributos,arbitrios,2024-08-11T08:00:00,2024-08-16T14:00:00,abierto,alta,5,800,139.26,Arequipa,Arequipa,Cayma,-17.340752,,user6934@mail.com,974199033
REQ-1087,CI-300,OF-999,presencial,solicitud,salud,citas,2023-06-30T13:00:00,2023-07-05T21:00:00,abierto,alta,5,137,252.2,Cusco,Cusco,Wanchaq,-16.189771,-73.440754,user9304@mail.com,916403434
REQ-1088,CI-685,OF-004,web,queja,tributos,predial,2023-12-18T07:00:00,2023-12-21T16:00:00,en_proceso,baja,3,155,225.63,Lima,Lima,Surco,-12.252465,-71.471234,user5951@mail.com,988775038
REQ-1089,CI-991,OF-005,whatsapp,solicitud,servicios,agua,2024-12-15T17:00:00,2024-12-17T15:00:00,en_proceso,media,5,112,183.21,La Libertad,Trujillo,Victor Larco,-14.623646,-70.319692,user7892@mail.com,982433029
REQ-1090,CI-378,OF-003,email,consulta,seguridad,iluminacion,2023-07-12T02:00:00,2023-07-14T01:00:00,abierto,baja,4,159,158.47,La Libertad,Trujillo,Victor Larco,-14.02755,-76.809895,user318@mail.com,930421134
REQ-1091,CI-571,OF-001,email,reclamo,otra,baches,2024-02-03T21:00:00,2024-02-07T05:00:00,cerrado,baja,1,191,328.1,Arequipa,Arequipa,Cayma,-17.381652,-74.168934,user4896@mail.com,936672234
REQ-1092,,OF-002,web,solicitud,salud,vacunas,2023-05-18T08:00:00,2023-05-27T23:00:00,abierto,media,5,76,189.96,Cusco,Cusco,Wanchaq,-16.928502,-76.820359,user_at_mail.com,953443711
REQ-1093,CI-306,OF-001,app,reclamo,transporte,semaforos,2023-02-02T18:00:00,2023-02-09T15:00:00,cerrado,media,5,160,245.46,Lima,Lima,Surco,-17.871126,-76.513495,user1162@mail.com,911756387
REQ-1094,CI-206,OF-002,presencial,solicitud,salud,abastecimiento,2023-12-12T21:00:00,2023-12-14T14:00:00,en_proceso,media,3,232,110.3,Lima,Lima,Surco,-12.539478,-74.78891,user7055@mail.com,953412847
REQ-1095,CI-509,OF-005,presencial,queja,servicios,limpieza,2023-11-29T15:00:00,2023-12-01T12:00:00,en_proceso,alta,5,210,317.68,Arequipa,Arequipa,Cayma,-13.896894,-78.163656,user9442@mail.com,abc123
REQ-1096,CI-187,OF-004,email,solicitud,tributos,multas,2023-05-14T04:00:00,2023-05-19T08:00:00,en_proceso,media,5,51,196.41,La Libertad,Trujillo,Victor Larco,-14.68754,-76.319164,user4363@mail.com,967722445
REQ-1097,CI-308,OF-005,email,consulta,servicios,limpieza,2024-05-09T19:00:00,2024-05-17T14:00:00,anulado,media,1,97,204.05,La Libertad,Trujillo,Victor Larco,,-76.200893,user985@mail.com,948119652
REQ-1098,CI-613,OF-003,web,consulta,seguridad,iluminacion,2023-01-31T17:00:00,2023-02-03T17:00:00,abierto,baja,4,169,48.04,La Libertad,Trujillo,Victor Larco,-15.639212,-69.854549,user3727@mail.com,966013532
REQ-1099,CI-856,OF-003,presencial,reclamo,seguridad,patrullaje,2023-05-15T05:00:00,2023-05-15T12:00:00,cerrado,media,3,156,198.47,Lima,Lima,San Isidro,-14.204383,-76.421789,user428@mail.com,958219240
REQ-1100,CI-649,OF-005,web,queja,servicios,luz,2024-04-12T01:00:00,2024-04-21T10:00:00,anulado,media,4,189,13.74,Cusco,Cusco,Wanchaq,-14.741951,-72.824163,user808@mail.com,935481281
REQ-1101,CI-636,OF-999,email,reclamo,tributos,desconocido,2024-07-17T12:00:00,2024-07-18T00:00:00,cerrado,alta,5,224,230.84,Lima,Lima,San Isidro,-17.113769,-190.654321,user841@mail.com,966315301
REQ-1102,CI-150,OF-001,app,reclamo,transporte,semaforos,2024-11-19T09:00:00,2024-11-25T22:00:00,cerrado,media,5,202,196.76,Cusco,Cusco,Wanchaq,-13.179457,-75.258302,user588@mail.com,922499198
REQ-1103,CI-724,OF-002,callcenter,reclamo,salud,citas,2023-05-02T00:00:00,2023-05-07T00:00:00,cerrado,baja,2,205,215.36,Cusco,Cusco,Wanchaq,-15.425924,-75.49587,user9182@mail.com,
REQ-1104,CI-691,OF-003,callcenter,queja,seguridad,patrullaje,2023-10-15T00:00:00,2023-10-18T15:00:00,anulado,media,2,147,211.99,Lima,Lima,San Isidro,-14.212214,-70.718657,user5051@mail.com,952211394
REQ-1105,CI-968,OF-005,web,consulta,otra,luz,2023-02-17T03:00:00,2023-02-22T17:00:00,cerrado,media,1,148,265.47,La Libertad,Trujillo,Victor Larco,-12.222692,-75.612077,user3155@mail.com,948462422
REQ-1106,CI-830,OF-005,web,solicitud,servicios,limpieza,2023-05-15T02:00:00,2023-05-23T19:00:00,cerrado,media,1,117,108.64,La Libertad,Trujillo,Victor Larco,-13.441553,-74.311431,user3797@mail.com,940037183
REQ-1107,CI-545,OF-005,callcenter,reclamo,servicios,agua,2024-11-09T21:00:00,2024-11-10T17:00:00,cerrado,media,4,30,207.26,Cusco,Cusco,Wanchaq,-16.019967,-77.621115,user7295@mail.com,933645674
REQ-1108,CI-972,,web,consulta,seguridad,ruidos,2023-02-24T00:00:00,2023-03-03T13:00:00,en_proceso,critica,1,221,98.77,Lima,Lima,Miraflores,-16.623884,-72.180003,user6460@mail.com,993914843
REQ-1109,CI-691,OF-004,presencial,consulta,tributos,arbitrios,2024-07-13T18:00:00,2024-07-17T16:00:00,abierto,baja,4,181,129.0,Arequipa,Arequipa,Cayma,-14.97373,-72.285525,user2328@mail.com,980653292
REQ-1110,CI-398,OF-005,web,consulta,servicios,luz,2023-03-26T04:00:00,2023-03-31T14:00:00,abierto,alta,3,34,215.53,Lima,Lima,Surco,-12.452349,-78.372173,user1828@mail.com,991043555
REQ-1111,CI-822,OF-004,app,consulta,tributos,,2024-06-27T13:00:00,2024-06-27T17:00:00,en_proceso,alta,4,174,110.49,Arequipa,Arequipa,Cayma,-13.624729,-78.130841,user8705@mail.com,995553621
REQ-1112,CI-224,OF-001,web,reclamo,transporte,baches,2024-11-03T20:00:00,2024-11-09T21:00:00,cerrado,baja,1,179,64.49,Lima,Lima,Surco,-15.071398,-70.074361,,947095573
REQ-1113,CI-499,OF-003,presencial,consulta,seguridad,iluminacion,2024-08-11T00:00:00,2024-08-16T12:00:00,cerrado,alta,9,112,141.37,La Libertad,Trujillo,Victor Larco,-12.967722,-71.431565,user8850@mail.com,940312650
REQ-1114,CI-653,OF-003,whatsapp,solicitud,seguridad,patrullaje,2023-02-07T10:00:00,2023-02-08T01:00:00,en_proceso,media,4,31,74.09,La Libertad,Trujillo,Victor Larco,-13.72898,-74.374667,user_at_mail.com,929992217
REQ-1115,CI-146,OF-005,presencial,consulta,servicios,agua,2023-05-04T08:00:00,2023-05-05T21:00:00,cerrrado,baja,3,142,99999.99,Lima,Lima,San Isidro,-11.997974,-78.13371,user1638@mail.com,994851724
REQ-1116,CI-575,OF-002,callcenter,queja,salud,citas,2023-04-26T04:00:00,2023-05-03T12:00:00,cerrado,alta,4,46,55.92,Lima,Lima,Miraflores,-17.838015,-75.222262,user3434@mail.com,968340640
REQ-1117,CI-467,OF-003,presencial,consulta,seguridad,patrullaje,2023-02-02T22:00:00,2023-02-09T00:00:00,abierto,baja,4,118,146.38,Lima,Lima,Surco,-16.726981,-75.843546,user2569@mail.com,abc123
REQ-1118,CI-809,OF-004,presencial,reclamo,tributos,arbitrios,2023-10-30T07:00:00,2023-11-06T05:00:00,anulado,baja,3,42,246.16,Arequipa,Arequipa,Cayma,-13.193179,-78.280279,user7453@mail.com,972244899
REQ-1119,CI-442,OF-002,email,queja,salud,abastecimiento,2024-05-04T23:00:00,2024-05-13T00:00:00,en_proceso,critica,2,193,260.76,Lima,Lima,San Isidro,-16.052892,-70.418603,user8251@mail.com,966764586
REQ-1120,CI-554,OF-001,callcenter,reclamo,transporte,semaforos,2023-01-23T07:00:00,2023-02-01T05:00:00,cerrado,media,4,149,119.98,La Libertad,Trujillo,Victor Larco,-12.928277,-74.124664,user8687@mail.com,983614224
